level,code,metro,total_2012,emp_2012,unemp_2012,na_2012,total_2014,emp_2014,unemp_2014,na_2014,total_2016,emp_2016,unemp_2016,na_2016,host_group
RM,1301,Manaus (AM),1654,972,111,571,1725,993,94,638,1798,954,211,633,Non-Host
RM,1501,Belém (PA),1637,947,112,578,1684,987,130,567,1723,951,157,614,Non-Host
RM,1601,Macapá (AP),385,224,28,132,404,232,25,147,423,227,47,149,Non-Host
RM,2101,Grande São Luís (MA),1096,573,82,441,1122,615,75,432,1169,586,124,459,Non-Host
RM,2301,Fortaleza (CE),2921,1643,153,1125,2978,1692,119,1167,3030,1653,231,1146,Metro Host
RM,2401,Natal (RN),1086,608,83,395,1133,620,88,425,1184,628,113,443,Non-Host
RM,2501,João Pessoa (PB),958,518,60,380,983,549,54,381,1019,550,83,386,Non-Host
RM,2601,Recife (PE),3012,1649,218,1145,3042,1599,162,1281,3134,1564,300,1270,Non-Host
RM,2701,Maceió (AL),934,466,67,401,948,487,65,397,985,484,91,410,Non-Host
RM,2801,Aracaju (SE),687,393,50,244,713,392,53,268,738,363,90,284,Non-Host
RM,2901,Salvador (BA),2901,1815,214,872,2956,1849,264,844,2960,1667,398,895,Non-Host
RM,3101,Belo Horizonte (MG),4069,2625,187,1258,4130,2632,187,1311,4216,2514,401,1300,Non-Host
RM,3201,Grande Vitória (ES),1436,893,82,462,1474,871,80,523,1519,846,161,512,Non-Host
RM,3301,Rio de Janeiro (RJ),10051,5648,423,3980,10277,5619,338,4319,10312,5409,830,4073,Metro Host
RM,3501,São Paulo (SP),16772,10267,773,5731,17027,10348,798,5881,17275,10279,1620,5376,Metro Host
RM,4101,Curitiba (PR),2641,1701,84,856,2717,1718,68,931,2803,1690,167,946,Non-Host
RM,4201,Florianópolis (SC),781,501,11,268,833,541,22,269,874,538,36,300,Non-Host
RM,4301,Porto Alegre (RS),3294,1994,90,1210,3335,2036,101,1198,3356,1964,221,1171,Non-Host
RM,5101,Vale do Rio Cuiabá (MT),697,430,22,245,707,439,25,243,727,419,47,260,Non-Host
RM,5201,Goiânia (GO),1865,1211,54,599,1899,1245,48,606,1948,1219,146,583,Non-Host
